Business Name,Website,Phone,Address,Specialty
Vasilatos Injury Law,http://www.vcinjurylaw.com/,(312) 559-8339,"555 West Jackson Blvd Ste 700 Chicago, IL 60661",Personal Injury Law
Mike Agruss Law,https://www.agrusslawfirm.com,(312) 584-3084,"4809 N Ravenswood Ave Ste 419 Chicago, IL 60640",Personal Injury Law
Rivera & Associates,https://www.riveraandassociatesil.com,(773) 286-2900,"2057 N Western Ave Chicago, IL 60647",Bankruptcy Law
Hsieh & Associates,Website Unavailable,Phone Number Unavailable,"238 W Cermak Rd Ste 200 Chicago, IL 60616","Criminal Defense Law, Immigration Law, Real Estate Law"
Mitchell Law Firm,http://www.mitchelllawfirmllc.com,(312) 620-2140,"4422 N Ravenswood Ave Ste 61 Chicago, IL 60640","Wills, Trusts, & Probates, Business Law"
Law Office of Roger Tsang PC,Website Unavailable,Phone Number Unavailable,"2912 S Wentworth Ave Chicago, IL 60616",Lawyers
Disparti Law Group,https://www.dispartilaw.com,(312) 600-6000,"121 W Wacker Dr Ste 2300 Chicago, IL 60601","Personal Injury Law, Disability Law, Employment Law"
Horowitz Law Offices,http://www.hwchicagolaw.com,(312) 787-5533,"311 W Superior St Ste 314 Chicago, IL 60654","General Litigation, Business Law, Tax Law"
Leone & Kosyla Law,https://www.leonekosylalaw.com,(312) 451-3249,"1655 S Blue Island Ste 318 Chicago, IL 60608","Divorce & Family Law, Business Law, Personal Injury Law"
Law Office of Lori D Ecker,http://www.loriecker.com,(312) 855-1880,"180 N LaSalle St Ste 3700 Chicago, IL 60601",Employment Law
"Taxman, Pollock, Murray & Bekkerman",http://tpmblegal.com,(312) 586-1700,"225 W Wacker Ste 1650 Chicago, IL 60606","Personal Injury Law, General Litigation, Workers Compensation Law"
Edwin L Feld & Associates,https://www.edfeldlaw.com/chicago,(888) 645-4357,"1 N LaSalle St Ste 2250 Chicago, IL 60602",Bankruptcy Law
Mark L Karno & Associates,https://www.karnolaw.com,(312) 701-0090,"33 N Lasalle St Ste 3500 Chicago, IL 60602","Personal Injury Law, Workers Compensation Law, Medical Law"
"McDevitt Law Offices, PC",https://mcdevittlaw.com,(312) 332-0072,"221 N Lasalle St Ste 1600 Chicago, IL 60601",Personal Injury Law
The Longe Law Firm,http://www.longelaw.com,(708) 803-5029,"1655 S Blue Island Ave Chicago, IL 60608","DUI Law, Criminal Defense Law, Traffic Ticketing Law"
McNamara Law Offices,http://www.mcnamaralegal.com,(312) 719-7959,"910 W Van Buren St Ste 119 Chicago, IL 60607","General Litigation, Personal Injury Law, Real Estate Law"
Strom Yen Injury Attorneys,https://stromlawyers.com,(312) 609-0400,"180 N Lasalle St Ste 2510 Chicago, IL 60601","Personal Injury Law, Workers Compensation Law"
Amari & Locallo,https://www.realestatelawyerchicagoil.com,(312) 255-8550,"734 N Wells St Chicago, IL 60654",Real Estate Law
Law Office of Robert J Kerr,http://www.chicagolawoffice.net,(312) 955-4400,"405 N Wabash Ave Ste P2C Chicago, IL 60611","Criminal Defense Law, DUI Law"
Chicago Medical Malpractice Lawyers,https://chicagomedicalmalpracticelawyers.com,(312) 883-6907,"833 W Chicago Ave Ste 303 Chicago, IL 60462","Personal Injury Law, Medical Law"
Kieu Liem Atty,Website Unavailable,Phone Number Unavailable,"1008 W Argyle St Chicago, IL 60640",Lawyers
The Law Offices of Timothy R White,http://www.whitesocialsecuritydisability.com,(773) 295-2179,"6832 W N Ave Ste 3B Chicago, IL 60707","Disability Law, Social Security Law"
Ivan Rueda & Associates,https://www.ivanrueda.com,(773) 252-9800,"1217 N Milwaukee Ave Chicago, IL 60642","Criminal Defense Law, Personal Injury Law, DUI Law"
Centros Legales,http://www.centroslegales.com,(773) 385-9111,"4125 W Fullerton Ave Chicago, IL 60639","Personal Injury Law, Immigration Law, Criminal Defense Law"
Clifford Law Offices,https://www.cliffordlaw.com,(331) 273-3473,"120 N LaSalle St Fl 36 Chicago, IL 60602",Personal Injury Law
Mulligan Law,http://www.mulliganlawllc.com/,(312) 229-5305,"190 S LaSalle St Ste 2100 Chicago, IL 60603","General Litigation, Personal Injury Law, Criminal Defense Law"
Giamanco Law Partners,https://www.glawpartners.com/?npcmp=dir:local:5153239:60440,(630) 635-5555,"107 W Boughton Rd Bolingbrook, IL 60440","Personal Injury Law, General Litigation, Divorce & Family Law"
"Sima L Kirsch, PC",Website Unavailable,Phone Number Unavailable,"4831 N Bell Ave Ste 2 Chicago, IL 60625",Lawyers
CEO Law,http://www.ceolawchicago.com,(312) 600-9288,"1016 W Jackson Blvd Ste 408 Chicago, IL 60607","Divorce & Family Law, Real Estate Law, Personal Injury Law"
Rosenthal Law Group,http://www.rosenthallawgroup.com,(847) 677-5100,"3700 W Devon Ave Lincolnwood, IL 60712",Real Estate Law
Law Offices of Rosalba Pina,http://www.rosalbapina.com,(312) 546-9310,"1617 S Michigan Ave Fl 1 Chicago, IL 60605","Immigration Law, Divorce & Family Law"
"Din Law, LLC",http://www.dinlaw.com,(312) 361-8462,"4518 N Kedzie Ave Chicago, IL 60625",Immigration Law
"Chalmer and Nagel, PC",http://www.chalmers-nagel.com/,(312) 836-0135,"100 W Kinzie St Ste 250 Chicago, IL 60654","General Litigation, Personal Injury Law"
Elman Joseph Law Group,https://www.elmanlaw.com/chicago-personal-injury-attorney-office,(773) 392-8182,"212 W Washington St Ste 1208 Chicago, IL 60606","Personal Injury Law, Workers Compensation Law"
Mitchell S Sexner & Associates,https://sexner.com,(312) 644-0444,"2126 W Van Buren St Chicago, IL 60612","Personal Injury Law, Criminal Defense Law, DUI Law"
Schelly Ralph Attorney,Website Unavailable,Phone Number Unavailable,"39 S La Salle St Ste 715 Chicago, IL 60603",Lawyers
The Law Office of Brandon Brown,Website Unavailable,Phone Number Unavailable,"716 E 47th St Chicago, IL 60653","Personal Injury Law, Criminal Defense Law, General Litigation"
Peck Ritchey,https://www.peckbloom.com,(312) 201-0900,"321 S Plymouth Ct Fl 6 Chicago, IL 60604","Wills, Trusts, & Probates"
Law Offices of Nicholas C Syregelas,http://www.syregelaslaw.com,(312) 243-0900,"19 N Green St Chicago, IL 60607","Personal Injury Law, Divorce & Family Law, Criminal Defense Law"
The Epstein Law Firm,http://www.illinoiscompensation.com/,(773) 522-7000,"4346 W 26th St Ste 2000 Chicago, IL 60623","Personal Injury Law, Criminal Defense Law, DUI Law"
Sable Law Group,https://www.sablelawgroup.com,(312) 469-0622,"200 E Randolph St Ste 5100 Chicago, IL 60601","Wills, Trusts, & Probates, Business Law, Real Estate Law"
Marder & Seidler,https://www.marderseidlerlaw.com,(847) 985-6767,"1076 S Roselle Rd Schaumburg, IL 60193","Divorce & Family Law, Criminal Defense Law, Real Estate Law"
Debtstoppers,http://www.debtstoppers.com,(312) 447-8025,"20 S Clark St 28th Fl Chicago, IL 60603",Bankruptcy Law
Ranjha Law Group,http://www.ranjhalaw.com/,(331) 867-7757,"903 Commerce Dr Ste 210 Oak Brook, IL 60523","Bankruptcy Law, Real Estate Law, Wills, Trusts, & Probates"
Alexander Dukor & Associates,Website Unavailable,Phone Number Unavailable,"7100 N Sheridan Rd Chicago, IL 60626","Immigration Law, Divorce & Family Law, Personal Injury Law"
Gregory A Braun - Braun & Rich,http://www.myreallaw.com,(773) 360-1032,"4301 N Damen Ave Chicago, IL 60618",Real Estate Law
D&W Law Group,http://www.dandwlawgroup.com,(312) 888-8888,"641 W Lake St Ste 400 Chicago, IL 60661",Lawyers
Rauschert & Rauschert,http://www.r2legal.com,(773) 348-3093,"1025 W Webster Ave Chicago, IL 60614","Estate Planning Law, Business Law, Real Estate Law"
Nabhani Law Offices,Website Unavailable,Phone Number Unavailable,"77 W Washington St Ste 1506 Chicago, IL 60602","Bankruptcy Law, Real Estate Law, Personal Injury Law"
"Plouff Law Offices, PC",http://www.ploufflaw.com,(312) 667-2510,"1046 W Kinzie St Ste 300,  Ste 364 Chicago, IL 60642","Personal Injury Law, Medical Law"
Liana A. Bizios Law,http://www.biziosinjurylaw.com/,(312) 357-0733,"20 S Clark St Ste 700 Chicago, IL 60603",Personal Injury Law
Romanucci & Blandin,https://rblaw.net,(312) 458-1000,"321 N Clark St Ste 900 Chicago, IL 60654","Personal Injury Law, Medical Law, Workers Compensation Law"
Coplan & Crane,http://www.coplancrane.com,(800) 394-6002,"70 W Madison St Ste 1400 Chicago, IL 60602","Personal Injury Law, Medical Law, Workers Compensation Law"
Law Office of Jenny Cruz Pedroza,http://www.jcplawil.com/,(773) 599-4020,"3613 W 95th St Evergreen Park, IL 60805","Wills, Trusts, & Probates"
Uptown People's Law Center,http://uplcchicago.org,(773) 769-1411,"4413 N Sheridan Rd Chicago, IL 60640","Tenant and Eviction Law, Social Security Law, Disability Law"
Reda Ciprian Magnone,http://illinois-attorney.com,(773) 399-1122,"8501 W Higgins Rd Ste 440 Chicago, IL 60631","Real Estate Law, Wills, Trusts, & Probates, Business Law"
Swanson & Desai,http://www.chicagobankruptcyattorney.com,(312) 850-3328,"2314 W North Ave Chicago, IL 60654","Bankruptcy Law, Real Estate Law"
EV Has,http://www.foreclosuredefenselawoffice.com,(312) 775-0980,"218 N Jefferson Ste 103 Chicago, IL 60661","General Litigation, Bankruptcy Law, Real Estate Law"
Law Office of Martin Perez,https://martinperezlawchicago.com,(773) 966-4974,"540 W 35th St Ste 203 Chicago, IL 60616","Immigration Law, Divorce & Family Law, Real Estate Law"
Wentzel Law Offices,http://www.wentzellaw.com,(312) 697-0500,"77 W Washington Ste 2100 Chicago, IL 60602","General Litigation, Business Law, Personal Injury Law"
Law Offices of Nancy A Summers,http://chicagolawlady.com,(847) 202-8803,"73 W Monroe St Chicago, IL 60603","Real Estate Law, Estate Planning Law, Business Law"
